,town,address,video
312200013,С.ДЖИНОТ,"С.ДЖИНОТ, ЧИТАЛИЩЕ - КЛУБ, УЛ.""Г.ДИМИТРОВ""№24",https://evideo.bg/pe202410/31.html#312200013
312200014,С.ЗИМНИЦА,"С.ЗИМНИЦА, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""САН СТЕФАНО""№24",https://evideo.bg/pe202410/31.html#312200014
312200015,С.ЗИМНИЦА,"С.ЗИМНИЦА, ЧИТАЛИЩЕ, УЛ.""ХАН АСПАРУХ""№5А",https://evideo.bg/pe202410/31.html#312200015
312200016,С.ИРЕЧЕКОВО,"С.ИРЕЧЕКОВО, ЧИТАЛИЩЕ, ПЛ.""ОСВОБОЖДЕНИЕ""№2",https://evideo.bg/pe202410/31.html#312200016
312200017,С.КАМЕНЕЦ,"С.КАМЕНЕЦ, ЧИТАЛИЩЕ, УЛ.""Г.ДИМИТРОВ"" №47",https://evideo.bg/pe202410/31.html#312200017
312200018,С.ЛЕЯРОВО,"С.ЛЕЯРОВО, КМЕТСТВО, УЛ.""А.КАЛАЙДЖИЕВ""№11",https://evideo.bg/pe202410/31.html#312200018
312200019,С.ЛОЗЕНЕЦ,"С.ЛОЗЕНЕЦ, ЧИТАЛИЩЕ, УЛ.""П.КАБАКОВ"" №18",https://evideo.bg/pe202410/31.html#312200019
312200020,С.ЛЮЛИН,"С.ЛЮЛИН, ЧИТАЛИЩЕ, УЛ.""ГЕОРГИ ДИМИТРОВ"" №13",https://evideo.bg/pe202410/31.html#312200020
312200021,С.МАЛЕНОВО,"С.МАЛЕНОВО, ЧИТАЛИЩЕ, УЛ.""Г.ДИМИТРОВ""№16",https://evideo.bg/pe202410/31.html#312200021
312200022,С.НЕДЯЛСКО,"С.НЕДЯЛСКО, ЧИТАЛИЩЕ, УЛ.""СЛАВ ЖЕЛЕЗЧЕВ БОНЕВ"" №51",https://evideo.bg/pe202410/31.html#312200022
312200023,С.ПАЛАУЗОВО,"С.ПАЛАУЗОВО, ЧИТАЛИЩЕ, УЛ.""Г.ДИМИТРОВ""№17",https://evideo.bg/pe202410/31.html#312200023
312200024,С.ПОЛЯНА,"С.ПОЛЯНА, КМЕТСТВО-РИТУАЛНА ЗАЛА, УЛ.""ВАСИЛ ЛЕВСКИ №16В",https://evideo.bg/pe202410/31.html#312200024
312200025,С.ПРАВДИНО,"С.ПРАВДИНО, КМЕТСТВО, УЛ.""А.ГОСПОДАРЕВ"" №1А",https://evideo.bg/pe202410/31.html#312200025
312200026,С.ПЪРВЕНЕЦ,"С.ПЪРВЕНЕЦ, ЧИТАЛИЩЕ, УЛ.""СТОЮ МИХАЛЕВ ДЕНЕВ"" №20",https://evideo.bg/pe202410/31.html#312200026
312200027,С.САРАНСКО,"С.САРАНСКО, МНОГОФУНКЦИОНАЛНА ЗАЛА, УЛ.""ТЕНЮ ТОДОРОВ""№1",https://evideo.bg/pe202410/31.html#312200027
312200028,С.ТАМАРИНО,"С.ТАМАРИНО, ЧИТАЛИЩЕ-1 ЕТАЖ, УЛ."" Й.КОНДОВА"" №1",https://evideo.bg/pe202410/31.html#312200028
312200029,С.ЧАРДА,"С.ЧАРДА, ЧИТАЛИЩЕ, УЛ.""ПЪРВИ МАЙ"" №1",https://evideo.bg/pe202410/31.html#312200029
312500001,С.АСЕНОВО,"С.АСЕНОВО, КМЕТСТВО , УЛ.""НИКОЛА ЙОНКОВ ВАПЦАРОВ""№2",https://evideo.bg/pe202410/31.html#312500001
312500002,С.БЕЗМЕР,"С.БЕЗМЕР, МЛАДЕЖКИ ДОМ, УЛ.""ОСВОБОЖДЕНИЕ"" №34",https://evideo.bg/pe202410/31.html#312500002
312500003,С.БЕЗМЕР,"С.БЕЗМЕР, КМЕТСТВО, УЛ.""ОСВОБОЖДЕНИЕ"" №32",https://evideo.bg/pe202410/31.html#312500003
312500004,С.БОТЕВО,"С.БОТЕВО, ОУ""ХРИСТО БОТЕВ"", УЛ. ""ХРИСТО БОТЕВ "" №39",https://evideo.bg/pe202410/31.html#312500004
312500005,С.БОЛЯРСКО,"С.БОЛЯРСКО, КМЕТСТВО, УЛ. ""ПРОБУДА"" №35",https://evideo.bg/pe202410/31.html#312500005
312500006,С.БОЯДЖИК,"С.БОЯДЖИК, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ."" НЕЗАВИСИМА БЪЛГАРИЯ"" №29",https://evideo.bg/pe202410/31.html#312500006
312500007,С.БОЯДЖИК,"С.БОЯДЖИК, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ."" НЕЗАВИСИМА БЪЛГАРИЯ"" №29",https://evideo.bg/pe202410/31.html#312500007
312500008,С.ВЕСЕЛИНОВО,"С.ВЕСЕЛИНОВО, СТОЛ НА ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""ХРИСТО БОТЕВ"" №2",https://evideo.bg/pe202410/31.html#312500008
312500009,С.ВИДИНЦИ,"С.ВИДИНЦИ, ЧИТАЛИЩЕ, УЛ. "" АЛ. СТАМБОЛИЙСКИ "" №4",https://evideo.bg/pe202410/31.html#312500009
312500010,С.ГЕНЕРАЛ ИНЗОВО,"С.ГЕНЕРАЛ ИНЗОВО, ЧИТАЛИЩЕ "" Н.Й.ВАПЦАРОВ 1926"", УЛ.""СВ.СВ.КИРИЛ МЕТОДИЙ""№14",https://evideo.bg/pe202410/31.html#312500010
312500011,С.ГЕНЕРАЛ ТОШЕВО,"С.ГЕНЕРАЛ ТОШЕВО, ЧИТАЛИЩЕ ""РАЗВИТИЕ 1905"", УЛ.""МИТКО ПЕЕВ"" №30",https://evideo.bg/pe202410/31.html#312500011
312500012,С.ГОЛЯМ МАНАСТИР,"С.ГОЛЯМ МАНАСТИР, ЧИТАЛИЩЕ ""НАПРЕДЪК 1927"", УЛ. ""СВ.СВ.КИРИЛ И МЕТОДИЙ"" №21",https://evideo.bg/pe202410/31.html#312500012
312500013,С.ГЪЛЪБИНЦИ,"С.ГЪЛЪБИНЦИ, ЧИТАЛИЩЕ ""П.Р.СЛАВЕЙКОВ 1928 "", УЛ. ""П.Р.СЛАВЕЙКОВ"" №3",https://evideo.bg/pe202410/31.html#312500013
312500014,С.ДРАЖЕВО,"С.ДРАЖЕВО, СТАРО ЧИТАЛИЩЕ-ТИП БАРАКА , УЛ.""НАДЕЖДА"" №17",https://evideo.bg/pe202410/31.html#312500014
312500015,С.ДРАМА,"С.ДРАМА, ЧИТАЛИЩЕ-МАЛКА ЗАЛА, УЛ."" БАЛКАН"" №19",https://evideo.bg/pe202410/31.html#312500015
312500016,С.ДРЯНОВО,"С.ДРЯНОВО, ЧИТАЛИЩЕ ""СВЕТЛИНА-2004"", УЛ."" ИВАН МИХОВ"" №7",https://evideo.bg/pe202410/31.html#312500016
312500017,С.ЗАВОЙ,"С.ЗАВОЙ, КЛУБ НА ПЕНСИОНЕРА, УЛ.""ЧЕРВЕН БРЯГ"" №2А",https://evideo.bg/pe202410/31.html#312500017
312500018,С.ЗЛАТАРИ,"С.ЗЛАТАРИ, ЧИТАЛИЩЕ ""ВАСИЛ ЛЕВСКИ 1935"", УЛ.""КОСМОС"" №4",https://evideo.bg/pe202410/31.html#312500018
312500019,С.КАБИЛЕ,"С.КАБИЛЕ, ЗАЛА ДО КМЕТСТВОТО, УЛ.""СЕВТОПОЛИС"" №9Б",https://evideo.bg/pe202410/31.html#312500019
312500020,С.КАЛЧЕВО,"С.КАЛЧЕВО, ЗРИТЕЛНА ЗАЛА, УЛ.""ИВАН КОСТОВ ДИНЕВ""№2",https://evideo.bg/pe202410/31.html#312500020
312500021,С.КАРАВЕЛОВО,"С.КАРАВЕЛОВО, ЧИТАЛИЩЕ ""Н.Й.ВАПЦАРОВ 1929"", УЛ.""ЖЕЛЯЗКО ПЕТКОВ"" №19",https://evideo.bg/pe202410/31.html#312500021
312500022,С.КОЗАРЕВО,"С.КОЗАРЕВО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""ВЪЗРАЖДАНЕ"" №41",https://evideo.bg/pe202410/31.html#312500022
312500023,С.КОНЕВЕЦ,"С.КОНЕВЕЦ, ЧИТАЛИЩЕ ""Д-Р ПЕТЪР БЕРОН 1941"", УЛ.""ТУНДЖА"" №34",https://evideo.bg/pe202410/31.html#312500023
312500024,С.КРУМОВО,"С.КРУМОВО, ЧИТАЛИЩЕ ""СЪГЛАСИЕ 1929"", УЛ.""ВЪЗРАЖДАНЕ"" №19",https://evideo.bg/pe202410/31.html#312500024
312500025,С.КУКОРЕВО,"С.КУКОРЕВО, КМЕТСТВО-РИТУАЛНА ЗАЛА, УЛ.""ТУНДЖА"" №2А",https://evideo.bg/pe202410/31.html#312500025
312500026,С.КУКОРЕВО,"С.КУКОРЕВО, ЧИТАЛИЩЕ ""ВИДЕЛИНА - 1928"" - ПЕНСИОНЕРСКИ КЛУБ, УЛ. ""Д.БЛАГОЕВ"" №10",https://evideo.bg/pe202410/31.html#312500026
312500027,С.МАЛОМИР,"С.МАЛОМИР, ЧИТАЛИЩЕ ""ПРОСВЕТА 1920"", УЛ.""КАРАПЧА"" №11",https://evideo.bg/pe202410/31.html#312500027
312500028,С.МЕДЕН КЛАДЕНЕЦ,"С.МЕДЕН КЛАДЕНЕЦ, ЧИТАЛИЩЕ ""ИЗГРЕВ 1928"", УЛ.""ПЪРВИ МАЙ"" №3",https://evideo.bg/pe202410/31.html#312500028
