"id","region_name","town","address","video"
"091500029","Кърджали","С.МЕТЛИКА","С.МЕТЛИКА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500029"
"091500030","Кърджали","С.КАНДИЛКА","С.КАНДИЛКА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500030"
"091500031","Кърджали","С.РИБИНО","С.РИБИНО, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500031"
"091500032","Кърджали","С.САМОВИЛА","С.САМОВИЛА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500032"
"091500033","Кърджали","С.ГУЛИЙКА","С.ГУЛИЙКА, УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500033"
"091500034","Кърджали","С.ПЕЛИН","С.ПЕЛИН, ДЕТСКА ГРАДИНА","https://evideo.bg/pe202410/09.html#091500034"
"091500035","Кърджали","С.СЛИВАРКА","С.СЛИВАРКА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500035"
"091500036","Кърджали","С.РОГАЧ","С.РОГАЧ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500036"
"091500037","Кърджали","С.ДЪЖДОВНИК","С.ДЪЖДОВНИК, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500037"
"091500038","Кърджали","С.БАГРИЛЦИ","С.БАГРИЛЦИ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500038"
"091500039","Кърджали","С.ЧЕРНООКИ","С.ЧЕРНООКИ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500039"
"091500040","Кърджали","С.ЧАЛ","С.ЧАЛ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500040"
"091500041","Кърджали","С.ПЕРУНИКА","С.ПЕРУНИКА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500041"
"091500042","Кърджали","С.ПОДРУМЧЕ","С.ПОДРУМЧЕ, УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500042"
"091500043","Кърджали","С.СТРАНДЖЕВО","С.СТРАНДЖЕВО, ЧИТАЛИЩЕ","https://evideo.bg/pe202410/09.html#091500043"
"091500044","Кърджали","С.БРЯГОВЕЦ","С.БРЯГОВЕЦ, ОБЩИНСКА СГРАДА-БИВШ МАГАЗИН","https://evideo.bg/pe202410/09.html#091500044"
"091500045","Кърджали","С.КОТЛАРИ","С.КОТЛАРИ, МАГАЗИН","https://evideo.bg/pe202410/09.html#091500045"
"091500046","Кърджали","С.СТРАНДЖЕВО","С.СТРАНДЖЕВО, ОСНОВНО УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500046"
"091500047","Кърджали","С.ПОТОЧНИЦА","С.ПОТОЧНИЦА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500047"
"091500048","Кърджали","С.СТУДЕН КЛАДЕНЕЦ","С.СТУДЕН КЛАДЕНЕЦ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500048"
"091500049","Кърджали","С.МОРЯНЦИ","С.МОРЯНЦИ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500049"
"091500050","Кърджали","С.КРАСИНО","С.КРАСИНО, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500050"
"091500051","Кърджали","С.СТАРИ ЧАЛ","С.СТАРИ ЧАЛ, БИВШЕ УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500051"
"091500052","Кърджали","С.ГОЛЯМО КАМЕНЯНЕ","С.ГОЛЯМО КАМЕНЯНЕ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500052"
"091500053","Кърджали","С.ГУЛИЯ","С.ГУЛИЯ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500053"
"091500054","Кърджали","С.МАЛКО КАМЕНЯНЕ","С.МАЛКО КАМЕНЯНЕ, КМЕСТВО","https://evideo.bg/pe202410/09.html#091500054"
"091500055","Кърджали","С.КЪКЛИЦА","С.КЪКЛИЦА, КМЕСТВО","https://evideo.bg/pe202410/09.html#091500055"
"091500056","Кърджали","С.ХРАСТОВО","С.ХРАСТОВО, КМЕСТВО","https://evideo.bg/pe202410/09.html#091500056"
"091500057","Кърджали","С.АВРЕН","С.АВРЕН, УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500057"
