id,address,address,video
020400020,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""П.Р. СЛАВЕЙКОВ""",https://evideo.bg/pe202410/02.html#020400020
020400021,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""П.Р. СЛАВЕЙКОВ""",https://evideo.bg/pe202410/02.html#020400021
020400022,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""П.Р. СЛАВЕЙКОВ""",https://evideo.bg/pe202410/02.html#020400022
020400023,ГР.БУРГАС,"ГР.БУРГАС, ОУ ""П.Р. СЛАВЕЙКОВ""",https://evideo.bg/pe202410/02.html#020400023
020400024,ГР.БУРГАС,"ГР.БУРГАС, ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ",https://evideo.bg/pe202410/02.html#020400024
020400025,ГР.БУРГАС,"ГР.БУРГАС, ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ",https://evideo.bg/pe202410/02.html#020400025
020400026,ГР.БУРГАС,"ГР.БУРГАС, ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ",https://evideo.bg/pe202410/02.html#020400026
020400027,ГР.БУРГАС,"ГР.БУРГАС, ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ",https://evideo.bg/pe202410/02.html#020400027
020400028,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400028
020400029,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400029
020400030,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400030
020400031,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400031
020400032,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400032
020400033,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400033
020400034,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400034
020400035,ГР.БУРГАС,"ГР.БУРГАС, СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/02.html#020400035
020400036,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400036
020400037,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400037
020400038,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400038
020400039,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400039
020400040,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400040
020400041,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400041
020400042,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400042
020400043,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400043
020400044,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400044
020400045,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400045
020400046,ГР.БУРГАС,"ГР.БУРГАС, ПГРЕ ""Г.С. РАКОВСКИ""",https://evideo.bg/pe202410/02.html#020400046
020400047,ГР.БУРГАС,"ГР.БУРГАС, СУ ""ИВАН ВАЗОВ""",https://evideo.bg/pe202410/02.html#020400047
020400048,ГР.БУРГАС,"ГР.БУРГАС, СУ ""ИВАН ВАЗОВ""",https://evideo.bg/pe202410/02.html#020400048
020400049,ГР.БУРГАС,"ГР.БУРГАС, СУ ""ИВАН ВАЗОВ""",https://evideo.bg/pe202410/02.html#020400049
020400050,ГР.БУРГАС,"ГР.БУРГАС, СУ ""ИВАН ВАЗОВ""",https://evideo.bg/pe202410/02.html#020400050
