id,town,address,video,,,
010300006,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ДЕТСКА ГРАДИНА №11 ""ЗДРАВЕЦ"", УЛ.""ЛАЛЕ"" №011",https://evideo.bg/pe202410/01.html#10300006,,,010300006
010300007,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ДЕТСКА ГРАДИНА №11 ""ЗДРАВЕЦ"", УЛ.""ЛАЛЕ"" №011",https://evideo.bg/pe202410/01.html#10300007,,,010300007
010300008,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЦСОП ""СВ. ПАИСИЙ ХИЛЕНДАРСКИ"", УЛ.""СВОБОДА"" №3",https://evideo.bg/pe202410/01.html#10300008,,,010300008
010300009,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЦСОП ""СВ. ПАИСИЙ ХИЛЕНДАРСКИ"", УЛ.""СВОБОДА"" №3",https://evideo.bg/pe202410/01.html#10300009,,,010300009
010300010,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЦСОП ""СВ. ПАИСИЙ ХИЛЕНДАРСКИ"", УЛ.""СВОБОДА"" №3",https://evideo.bg/pe202410/01.html#10300010,,,010300010
010300011,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, V-ТО СУ""ГЕОРГИ ИЗМИРЛИЕВ"", УЛ.""ХРИСТО ЧЕРНОПЕЕВ"" №16",https://evideo.bg/pe202410/01.html#10300011,,,010300011
010300012,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, V-ТО СУ""ГЕОРГИ ИЗМИРЛИЕВ"", УЛ.""ХРИСТО ЧЕРНОПЕЕВ"" №16",https://evideo.bg/pe202410/01.html#10300012,,,010300012
010300013,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, V-ТО СУ""ГЕОРГИ ИЗМИРЛИЕВ"", УЛ.""ХРИСТО ЧЕРНОПЕЕВ"" №16",https://evideo.bg/pe202410/01.html#10300013,,,010300013
010300014,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, V-ТО СУ""ГЕОРГИ ИЗМИРЛИЕВ"", УЛ.""ХРИСТО ЧЕРНОПЕЕВ"" №16",https://evideo.bg/pe202410/01.html#10300014,,,010300014
010300015,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, V-ТО СУ""ГЕОРГИ ИЗМИРЛИЕВ"", УЛ.""ХРИСТО ЧЕРНОПЕЕВ"" №16",https://evideo.bg/pe202410/01.html#10300015,,,010300015
010300016,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НХГ""СВ.СВ. КИРИЛ И МЕТОДИЙ"", УЛ.""ЦАНКО ЦЕРКОВСКИ"" №002",https://evideo.bg/pe202410/01.html#10300016,,,010300016
010300017,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НАРОДНО ЧИТАЛИЩЕ ""НИКОЛА Й. ВАПЦАРОВ-1866"", ПЛ. ""МАКЕДОНИЯ"" №1",https://evideo.bg/pe202410/01.html#10300017,,,010300017
010300018,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НХГ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""ЦАНКО ЦЕРКОВСКИ"" №002",https://evideo.bg/pe202410/01.html#10300018,,,010300018
010300019,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, V-ТО СУ""ГЕОРГИ ИЗМИРЛИЕВ"", УЛ.""ХРИСТО ЧЕРНОПЕЕВ"" №16",https://evideo.bg/pe202410/01.html#10300019,,,010300019
