,town,address,video
203200606,С. ИСКРА,"С. ИСКРА, УЛ. ОБРАЗЦОВА 22, ОУ СТЕФАН КАРАДЖА",https://evideo.bg/pe202410/20.html#203200606
203200607,С. ИСКРА,"С. ИСКРА, УЛ. ОБРАЗЦОВА 22, ОУ СТЕФАН КАРАДЖА",https://evideo.bg/pe202410/20.html#203200607
203200608,С. ИСКРА,"С. ИСКРА, УЛ. ЗВЕЗДЕЛ 3, НЧ БАЧО КИРО 1943",https://evideo.bg/pe202410/20.html#203200608
203200609,С. ЯСТРЕБНА,"С. ЯСТРЕБНА, УЛ. ПЪРВА 3, НЧ СТЕФАН КАРАДЖА 1963",https://evideo.bg/pe202410/20.html#203200609
203200610,С. НОВА ПОПИНА,"С. НОВА ПОПИНА, УЛ. ПЪРВА 16, СГРАДАТА НА КМЕТСТВОТО",https://evideo.bg/pe202410/20.html#203200610
203200611,С. ПОЛЯНА,"С. ПОЛЯНА, УЛ. ПЪРВА 35А, КЛУБ НА С. ПОЛЯНА",https://evideo.bg/pe202410/20.html#203200611
203200612,С. ПОПИНА,"С. ПОПИНА, УЛ. ПЪРВИ МАЙ 76, НЧ НИКОЛА ЙОНКОВ ВАПЦАРОВ 1940",https://evideo.bg/pe202410/20.html#203200612
203200613,С. СЛАТИНА,"С. СЛАТИНА, УЛ. ВТОРА 2, НЧ",https://evideo.bg/pe202410/20.html#203200613
203400701,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. ДИМИТЪР БЛАГОЕВ 51, ОБЩИНСКИ ЦЕНТЪР ЗА ИЗВЪН КЛАСНИ ДЕЙНОСТИ",https://evideo.bg/pe202410/20.html#203400701
203400702,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. СУВОРОВ 2, ЧИТАЛИЩЕ Н. Й. ВАПЦАРОВ",https://evideo.bg/pe202410/20.html#203400702
203400703,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. ТРАНСМАРИСКА 20, ОБЩИНСКИ СЪВЕТ ТУТРАКАН",https://evideo.bg/pe202410/20.html#203400703
203400704,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. РОСИЦА 6, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/20.html#203400704
203400705,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. РОСИЦА 8, ШАХ КЛУБ",https://evideo.bg/pe202410/20.html#203400705
203400706,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. САКАР ПЛАНИНА 8, БИВШ ХРАНИТЕЛЕН МАГАЗИН",https://evideo.bg/pe202410/20.html#203400706
203400707,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. ЦИБЪР 1, ДОМ ЗА СТАРИ ХОРА",https://evideo.bg/pe202410/20.html#203400707
203400708,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. АЛЕКО КОНСТАНТИНОВ 5, ДГ СЛАВЯНКА",https://evideo.bg/pe202410/20.html#203400708
203400709,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. ГЕО МИЛЕВ 2, СОУ ХРИСТО БОТЕВ",https://evideo.bg/pe202410/20.html#203400709
203400710,ГР. ТУТРАКАН,"ГР. ТУТРАКАН, УЛ. ГЕО МИЛЕВ 2, СОУ ХРИСТО БОТЕВ",https://evideo.bg/pe202410/20.html#203400710
203400711,С. БЕЛИЦА,"С. БЕЛИЦА, УЛ. ДЕСЕТИ МАЙ 46, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/20.html#203400711
203400712,С. НОВА ЧЕРНА,"С. НОВА ЧЕРНА, УЛ. ЧЕРНО МОРЕ 24, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#203400712
203400713,С. НОВА ЧЕРНА,"С. НОВА ЧЕРНА, УЛ. КИРИЛ И МЕТОДИЙ 87, ОУ КИРИЛ И МЕТОДИЙ",https://evideo.bg/pe202410/20.html#203400713
203400714,С. СЯНОВО,"С. СЯНОВО, УЛ. ШЕСТА 9, КМЕТСТВО",https://evideo.bg/pe202410/20.html#203400714
203400715,С. ПРЕСЛАВЦИ,"С. ПРЕСЛАВЦИ, УЛ. ПЪРВА 2, ТЕНИС КЛУБ",https://evideo.bg/pe202410/20.html#203400715
203400716,С. БРЕНИЦА,"С. БРЕНИЦА, УЛ. ТРЕТА 18, КМЕТСТВО",https://evideo.bg/pe202410/20.html#203400716
203400717,С. СТАРО СЕЛО,"С. СТАРО СЕЛО, УЛ. СЪЕДИНЕНИЕ 33, ЧИТАЛИЩЕ ВЪЗРАЖДАНЕ 1940",https://evideo.bg/pe202410/20.html#203400717
203400718,С. СТАРО СЕЛО,"С. СТАРО СЕЛО, УЛ. СЪЕДИНЕНИЕ 39, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/20.html#203400718
203400719,С. ШУМЕНЦИ,"С. ШУМЕНЦИ, УЛ. ГЕОРГИ ДИМИТРОВ 7, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/20.html#203400719
203400720,С. ВАРНЕНЦИ,"С. ВАРНЕНЦИ, УЛ. ТУТРАКАН 1, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/20.html#203400720
203400721,С. ПОЖАРЕВО,"С. ПОЖАРЕВО, УЛ. ВТОРА 29, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#203400721
203400722,С. ЦАР САМУИЛ,"С. ЦАР САМУИЛ, УЛ. ФИЛИП ТОТЮ 15, ОУ СТЕФАН КАРАДЖА",https://evideo.bg/pe202410/20.html#203400722
203400723,С. ЦАР САМУИЛ,"С. ЦАР САМУИЛ, УЛ. ДОЧО МИХАЙЛОВ 17, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#203400723
203400724,С. ТЪРНОВЦИ,"С. ТЪРНОВЦИ, УЛ. ПЪРВА 19, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#203400724
203400725,С. АНТИМОВО,"С. АНТИМОВО, УЛ. ПЪРВА 15, КМЕТСТВО",https://evideo.bg/pe202410/20.html#203400725
203400726,С. ЦАРЕВ ДОЛ,"С. ЦАРЕВ ДОЛ, УЛ. ПЕТА 1, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#203400726
